拍,時間,傳送位元,是否顯示動畫
212,01:11:38.919,0,NO
213,01:11:39.419,0,YES
214,01:11:39.919,1,NO
215,01:11:40.419,0,NO
216,01:11:40.919,0,YES
217,01:11:41.419,1,NO
218,01:11:41.919,0,NO
219,01:11:42.419,0,NO
220,01:11:42.919,0,YES
221,01:11:43.419,1,NO
222,01:11:43.921,0,NO
223,01:11:44.419,0,YES
224,01:11:44.919,1,NO
225,01:11:45.419,0,NO
226,01:11:45.919,0,YES
227,01:11:46.419,1,NO
228,01:11:46.919,0,NO
229,01:11:47.419,0,NO
230,01:11:47.919,0,YES
231,01:11:48.419,1,NO
232,01:11:48.919,0,NO
233,01:11:49.419,0,YES
234,01:11:49.919,1,NO
235,01:11:50.419,0,NO
236,01:11:50.919,0,YES
237,01:11:51.419,1,NO
238,01:11:51.919,0,NO
239,01:11:52.419,0,NO
240,01:11:52.919,0,YES
241,01:11:53.419,1,NO
242,01:11:53.919,0,NO
243,01:11:54.419,0,YES
244,01:11:54.919,1,NO
245,01:11:55.419,0,NO
246,01:11:55.919,0,YES
247,01:11:56.419,1,NO
248,01:11:56.919,0,NO
249,01:11:57.419,0,NO
250,01:11:57.919,0,YES
251,01:11:58.419,1,NO
252,01:11:58.919,0,NO
253,01:11:59.419,0,YES
254,01:11:59.919,1,NO
255,01:12:00.419,0,NO
256,01:12:00.919,0,YES
257,01:12:01.419,1,NO
258,01:12:01.919,0,NO
259,01:12:02.419,0,NO
260,01:12:02.919,0,YES
261,01:12:03.419,1,NO
262,01:12:03.919,0,NO
263,01:12:04.419,0,YES
264,01:12:04.919,1,NO
265,01:12:05.419,0,NO
266,01:12:05.919,0,YES
267,01:12:06.419,1,NO
268,01:12:06.919,0,NO
269,01:12:07.419,0,NO
270,01:12:07.919,0,YES
271,01:12:08.419,1,NO
272,01:12:08.919,0,NO
273,01:12:09.419,0,YES
274,01:12:09.919,1,NO
275,01:12:10.419,0,NO
276,01:12:10.919,0,YES
277,01:12:11.419,1,NO
278,01:12:11.919,0,NO
279,01:12:12.419,0,NO
280,01:12:12.919,0,YES
281,01:12:13.419,1,NO
282,01:12:13.919,0,NO
283,01:12:14.419,0,YES
284,01:12:14.919,1,NO
285,01:12:15.419,0,NO
286,01:12:15.919,0,YES
287,01:12:16.419,1,NO
288,01:12:16.919,0,NO
289,01:12:17.419,0,NO
290,01:12:17.919,0,YES
291,01:12:18.419,1,NO
292,01:12:18.919,0,NO
293,01:12:19.419,0,YES
294,01:12:19.919,1,NO
295,01:12:20.419,0,NO
296,01:12:20.919,0,YES
297,01:12:21.419,1,NO
298,01:12:21.919,0,NO
299,01:12:22.419,0,NO
300,01:12:22.919,0,YES
301,01:12:23.419,1,NO
302,01:12:23.919,0,NO
303,01:12:24.419,0,YES
304,01:12:24.919,1,NO
305,01:12:25.419,0,NO
306,01:12:25.919,0,YES
307,01:12:26.419,1,NO
308,01:12:26.919,0,NO
309,01:12:27.419,0,NO
310,01:12:27.919,0,YES
311,01:12:28.419,1,NO
312,01:12:28.919,0,NO
313,01:12:29.419,0,YES
314,01:12:29.919,1,NO
315,01:12:30.419,0,NO
316,01:12:30.919,0,YES
317,01:12:31.419,1,NO
318,01:12:31.919,0,NO
319,01:12:32.419,0,NO
320,01:12:32.919,0,YES
321,01:12:33.419,1,NO
322,01:12:33.919,0,NO
323,01:12:34.419,0,YES
324,01:12:34.919,1,NO
325,01:12:35.419,0,NO
326,01:12:35.919,0,YES
327,01:12:36.419,1,NO
328,01:12:36.919,0,NO
329,01:12:37.419,0,NO
330,01:12:37.919,0,YES
331,01:12:38.419,1,NO
332,01:12:38.919,0,NO
333,01:12:39.419,0,YES
334,01:12:39.919,1,NO
335,01:12:40.419,0,NO
336,01:12:40.919,0,YES
337,01:12:41.419,1,NO
338,01:12:41.919,0,NO
339,01:12:42.419,0,NO
340,01:12:42.919,0,YES
341,01:12:43.419,1,NO
342,01:12:43.919,0,NO
343,01:12:44.419,0,YES
344,01:12:44.919,1,NO
345,01:12:45.419,0,NO
346,01:12:45.919,0,YES
347,01:12:46.419,1,NO
348,01:12:46.919,0,NO
349,01:12:47.419,0,NO
350,01:12:47.919,0,YES
351,01:12:48.419,1,NO
352,01:12:48.919,0,NO
353,01:12:49.422,0,YES
354,01:12:49.919,1,NO
355,01:12:50.419,0,NO
356,01:12:50.919,0,YES
357,01:12:51.419,1,NO
358,01:12:51.919,0,NO
359,01:12:52.419,0,NO
360,01:12:52.919,0,YES
361,01:12:53.419,1,NO
362,01:12:53.919,0,NO
363,01:12:54.419,0,YES
364,01:12:54.919,1,NO
365,01:12:55.419,0,NO
366,01:12:55.919,0,YES
367,01:12:56.419,1,NO
368,01:12:56.919,0,NO
369,01:12:57.419,0,NO
370,01:12:57.920,0,YES
371,01:12:58.419,1,NO
372,01:12:58.919,0,NO
373,01:12:59.419,0,YES
374,01:12:59.919,1,NO
375,01:13:00.426,0,NO
376,01:13:00.919,0,YES
377,01:13:01.419,1,NO
378,01:13:01.921,0,NO
379,01:13:02.419,0,NO
380,01:13:02.919,0,YES
381,01:13:03.419,1,NO
382,01:13:03.919,0,NO
383,01:13:04.419,0,YES
384,01:13:04.919,1,NO
385,01:13:05.419,0,NO
386,01:13:05.919,0,YES
387,01:13:06.419,1,NO
388,01:13:06.919,0,NO
389,01:13:07.419,0,NO
